Timestamp: 22:30:39.343 - Frame 1: x=-0.36, y=-0.23, z=1.12
Timestamp: 22:30:39.361 - Frame 2: x=-0.36, y=-0.23, z=1.12
Timestamp: 22:30:39.377 - Frame 3: x=-0.36, y=-0.23, z=1.12
Timestamp: 22:30:45.774 - Frame 4: x=-0.05, y=-0.02, z=0.65
Timestamp: 22:30:45.799 - Frame 5: x=-0.05, y=-0.02, z=0.65
Timestamp: 22:30:45.815 - Frame 6: x=-0.05, y=-0.02, z=0.65
Timestamp: 22:30:45.870 - Frame 7: x=-0.05, y=-0.02, z=0.66
Timestamp: 22:30:45.891 - Frame 8: x=-0.05, y=-0.02, z=0.66
Timestamp: 22:30:45.908 - Frame 9: x=-0.05, y=-0.02, z=0.66
Timestamp: 22:30:46.237 - Frame 10: x=-0.04, y=-0.01, z=0.66
Timestamp: 22:30:46.264 - Frame 11: x=-0.04, y=-0.01, z=0.66
Timestamp: 22:30:46.277 - Frame 12: x=-0.04, y=-0.01, z=0.66
Timestamp: 22:30:46.430 - Frame 13: x=-0.04, y=-0.02, z=0.66
Timestamp: 22:30:46.445 - Frame 14: x=-0.04, y=-0.02, z=0.66
Timestamp: 22:30:46.460 - Frame 15: x=-0.04, y=-0.02, z=0.66
Timestamp: 22:30:46.507 - Frame 16: x=-0.04, y=-0.02, z=0.66
Timestamp: 22:30:46.525 - Frame 17: x=-0.04, y=-0.02, z=0.66
Timestamp: 22:30:46.539 - Frame 18: x=-0.04, y=-0.02, z=0.66
Timestamp: 22:30:46.604 - Frame 19: x=-0.04, y=-0.02, z=0.66
Timestamp: 22:30:46.620 - Frame 20: x=-0.04, y=-0.02, z=0.66
Timestamp: 22:30:46.649 - Frame 21: x=-0.04, y=-0.02, z=0.66
Timestamp: 22:30:46.700 - Frame 22: x=-0.04, y=-0.02, z=0.66
Timestamp: 22:30:46.724 - Frame 23: x=-0.04, y=-0.02, z=0.66
Timestamp: 22:30:46.738 - Frame 24: x=-0.04, y=-0.02, z=0.66
Timestamp: 22:30:46.800 - Frame 25: x=-0.04, y=-0.02, z=0.66
Timestamp: 22:30:46.819 - Frame 26: x=-0.04, y=-0.02, z=0.66
Timestamp: 22:30:46.876 - Frame 27: x=-0.04, y=-0.02, z=0.66
Timestamp: 22:30:46.896 - Frame 28: x=-0.04, y=-0.02, z=0.66
Timestamp: 22:30:46.911 - Frame 29: x=-0.04, y=-0.02, z=0.66
Timestamp: 22:30:46.973 - Frame 30: x=-0.04, y=-0.02, z=0.65
Timestamp: 22:30:46.987 - Frame 31: x=-0.04, y=-0.02, z=0.65
Timestamp: 22:30:47.005 - Frame 32: x=-0.04, y=-0.02, z=0.65
Timestamp: 22:30:47.069 - Frame 33: x=-0.04, y=-0.02, z=0.65
Timestamp: 22:30:47.080 - Frame 34: x=-0.04, y=-0.02, z=0.65
Timestamp: 22:30:47.098 - Frame 35: x=-0.04, y=-0.02, z=0.65
Timestamp: 22:30:47.167 - Frame 36: x=-0.04, y=-0.02, z=0.66
Timestamp: 22:30:47.188 - Frame 37: x=-0.04, y=-0.02, z=0.66
Timestamp: 22:30:47.246 - Frame 38: x=-0.04, y=-0.03, z=0.67
Timestamp: 22:30:47.268 - Frame 39: x=-0.04, y=-0.03, z=0.67
Timestamp: 22:30:47.284 - Frame 40: x=-0.04, y=-0.03, z=0.67
Timestamp: 22:30:47.437 - Frame 41: x=-0.03, y=-0.04, z=0.67
Timestamp: 22:30:47.450 - Frame 42: x=-0.03, y=-0.04, z=0.67
Timestamp: 22:30:47.468 - Frame 43: x=-0.03, y=-0.04, z=0.67
Timestamp: 22:30:47.611 - Frame 44: x=-0.03, y=-0.05, z=0.68
Timestamp: 22:30:47.638 - Frame 45: x=-0.03, y=-0.05, z=0.68
Timestamp: 22:30:47.652 - Frame 46: x=-0.03, y=-0.05, z=0.68
Timestamp: 22:30:47.706 - Frame 47: x=-0.03, y=-0.05, z=0.67
Timestamp: 22:30:47.732 - Frame 48: x=-0.03, y=-0.05, z=0.67
Timestamp: 22:30:47.747 - Frame 49: x=-0.03, y=-0.05, z=0.67
Timestamp: 22:30:47.802 - Frame 50: x=-0.03, y=-0.05, z=0.68
Timestamp: 22:30:47.822 - Frame 51: x=-0.03, y=-0.05, z=0.68
Timestamp: 22:30:47.840 - Frame 52: x=-0.03, y=-0.05, z=0.68
Timestamp: 22:30:47.900 - Frame 53: x=-0.03, y=-0.05, z=0.67
Timestamp: 22:30:47.915 - Frame 54: x=-0.03, y=-0.05, z=0.67
Timestamp: 22:30:47.930 - Frame 55: x=-0.03, y=-0.05, z=0.67
Timestamp: 22:30:47.979 - Frame 56: x=-0.03, y=-0.05, z=0.67
Timestamp: 22:30:47.996 - Frame 57: x=-0.03, y=-0.05, z=0.67
Timestamp: 22:30:48.075 - Frame 58: x=-0.03, y=-0.05, z=0.68
Timestamp: 22:30:48.103 - Frame 59: x=-0.03, y=-0.05, z=0.68
Timestamp: 22:30:48.120 - Frame 60: x=-0.03, y=-0.05, z=0.68
Timestamp: 22:30:48.169 - Frame 61: x=-0.03, y=-0.05, z=0.68
Timestamp: 22:30:48.196 - Frame 62: x=-0.03, y=-0.05, z=0.68
